iorig,x,y,z,vx,vy,vz,u,h,alpha,divv
139,0.16015625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.08448535652514562,0.0,3.7490143386304826,0.019104877,0.0,-2.3132743e-06
140,0.17578125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.08932243011971287,0.0,3.7490143386304826,0.019104877,0.0,-2.4457172e-06
141,0.19140625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.09329927988361453,0.0,3.7490143386304826,0.019104877,0.0,-2.5546062e-06
142,0.20703125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.09637760657965672,0.0,3.7490143386304826,0.019104877,0.0,-2.6388932e-06
143,0.22265625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.09852776423897185,0.0,3.7490143386304826,0.019104877,0.0,-2.6977661e-06
144,0.23828125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.0997290456679048,0.0,3.7490143386304826,0.019104877,0.0,-2.7306583e-06
145,0.25390625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.0999698818696077,0.0,3.7490143386304826,0.019104877,0.0,-2.7372525e-06
146,0.26953125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.09924795345980365,0.0,3.7490143386304826,0.019104877,0.0,-2.7174856e-06
147,0.28515625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.09757021300372531,0.0,3.7490143386304826,0.019104877,0.0,-2.6715477e-06
148,0.30078125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.09495281805911107,0.0,3.7490143386304826,0.019104877,0.0,-2.5998816e-06
149,0.31640625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.09142097557009132,0.0,3.7490143386304826,0.019104877,0.0,-2.5031768e-06
150,0.33203125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.08700869911053706,0.0,3.7490143386304826,0.019104877,0.0,-2.3823654e-06
151,0.34765625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.08175848131474972,0.0,3.7490143386304826,0.019104877,0.0,-2.2386103e-06
152,0.36328125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.07572088465016408,0.0,3.7490143386304826,0.019104877,0.0,-2.0732962e-06
153,0.37890625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.0689540544731465,0.0,3.7490143386304826,0.019104877,0.0,-1.8880153e-06
154,0.39453125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.06152315905742776,0.0,3.7490143386304826,0.019104877,0.0,-1.6845515e-06
155,0.41015625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.05349976198800234,0.0,3.7490143386304826,0.019104877,0.0,-1.4648648e-06
156,0.42578125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.044961132964684285,0.0,3.7490143386304826,0.019104877,0.0,-1.2310705e-06
157,0.44140625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.035989503652658114,0.0,3.7490143386304826,0.019104877,0.0,-9.854203e-07
158,0.45703125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.02667127574659066,0.0,3.7490143386304826,0.019104877,0.0,-7.3028014e-07
159,0.47265625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.01709618887507945,0.0,3.7490143386304826,0.019104877,0.0,-4.6810686e-07
160,0.48828125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,0.007356456358972673,0.0,3.7490143386304826,0.019104877,0.0,-2.0142545e-07
